name,winery,year,rating,num_ratings,price,type,region
Pomerol 2011,Château La Providence,2011,4.2,100,95.0,Red,Pomerol
Lirac 2017,Château Mont-Redon,2017,4.3,100,15.5,Red,Lirac
Erta e China Rosso di Toscana 2015,Renzo Masi,2015,3.9,100,7.45,Red,Toscana
Bardolino 2019,Cavalchina,2019,3.5,100,8.72,Red,Bardolino
Ried Scheibner Pinot Noir 2016,Markowitsch,2016,3.9,100,29.15,Red,Carnuntum
Gigondas (Nobles Terrasses) 2017,Vieux Clocher,2017,3.7,100,19.9,Red,Gigondas
Marion's Vineyard Pinot Noir 2016,Schubert,2016,4.0,100,43.87,Red,Wairarapa
Red Blend 2014,Viña La Causa,2014,3.9,100,17.52,Red,Itata Valley
Chianti 2015,Castello Montaùto,2015,3.6,100,10.75,Red,Chianti
Tradition 2014,Domaine des Aires Hautes,2014,3.5,100,6.9,Red,Minervois
Chianti Riserva 2013,Poggiotondo,2013,3.9,100,20.95,Red,Chianti
Descendant 2016,Torbreck,2016,4.3,100,140.64,Red,Barossa
Les Obriers de la Peira Terrasses du Larzac 2017,La Pèira en Damaisèla,2017,4.1,100,14.52,Red,Terrasses du Larzac
Zenas Primitivo 2018,La Bollina,2018,3.6,100,9.26,Red,Puglia
Cuvée Confidence Côtes du Rhône Rouge 2017,Domaine Fond Croze,2017,3.7,100,8.49,Red,Côtes-du-Rhône
Shiraz 2018,Barramundi,2018,3.2,100,6.5,Red,South Eastern Australia
Proprietor's Blend 2016,Ernie Els,2016,4.2,100,29.09,Red,Stellenbosch
La Bienquerida 2016,Losada,2016,4.3,100,41.58,Red,Bierzo
Cabernet Sauvignon 2015,Hacienda,2015,3.8,100,7.95,Red,California
Fulgeo Negroamaro Salento 2016,San Donaci,2016,4.0,100,12.9,Red,Salento
Contraste Tinto 2015,Conceito,2015,3.4,100,9.9,Red,Douro
Steiner 2013,Weninger,2013,3.7,100,24.5,Red,Sopron
Old Vines Primitivo 2015,Azienda Agricola Morella,2015,4.2,100,38.7,Red,Puglia
Virtus Tannat 2013,Monte Paschoal,2013,2.9,100,6.77,Red,Serra Gaúcha
Kallista 2015,Vriesenhof,2015,4.3,100,26.25,Red,Stellenbosch
Badia a Passignano Gran Selezione Chianti Classico 2016,Antinori,2016,4.2,1000,39.9,Red,Chianti Classico
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2012,Château Figeac,2012,4.4,1000,174.49,Red,Saint-Émilion Grand Cru
Carlo V Il Rosso dell'Imperatore 2013,Colli Vicentini,2013,3.7,1000,15.9,Red,Veneto
Pinot Noir 2016,District 7,2016,3.6,1001,15.98,Red,Monterey
Marquis de Calon Saint-Estèphe 2015,Château Calon-Ségur,2015,3.9,1001,43.28,Red,Saint-Estèphe
Hécula Monastrell 2017,Castaño,2017,3.3,1004,8.83,Red,Yecla
Berola 2015,Borsao,2015,3.9,1006,14.52,Red,Campo de Borja
Saint-Julien (Grand Cru Classé) 2010,Château Léoville Poyferré,2010,4.4,1008,189.0,Red,Saint-Julien
Pinot Noir Bourgogne 2017,Faiveley,2017,3.7,1009,15.9,Red,Bourgogne
Vigna del Noce Barbera d'Asti 2007,Trinchero,2007,4.1,101,76.9,Red,Barbera d'Asti
I Tratturi Rosso 2017,San Marzano,2017,3.8,101,7.04,Red,Salento
Château Pilet Bordeaux 2017,J.Queyrens & Fils,2017,3.6,101,6.5,Red,Bordeaux
Sancerre Rouge 2015,Comte Lafond,2015,4.2,101,37.34,Red,Sancerre
Shiraz 2016,Food Truck,2016,3.5,101,8.67,Red,McLaren Vale
Ro-Rée Saint-Joseph 2018,Louis Chèze,2018,4.2,101,24.37,Red,Saint-Joseph
Cabernet Sauvignon 2015,Big Flower,2015,4.0,101,16.5,Red,Stellenbosch
Cuvée Alienor Fronsac 2015,Château Mayne-Vieil,2015,3.7,101,16.47,Red,Fronsac
Sabbie di Sopra al Bosco 2014,Nanni Copé,2014,3.8,101,31.96,Red,Terre del Volturno
Roma Rosso 2018,Poggio le Volpi,2018,4.0,101,9.95,Red,Lazio
Garnacha de Arrayán 2014,Arrayán,2014,3.7,101,21.9,Red,Castilla y León
Cabernet Sauvignon 2018,Valdivieso,2018,3.3,101,7.6,Red,Central Valley
Terrenus Vinhas Velhas Reserva 2013,Rui Reguinga,2013,4.1,101,27.95,Red,Alentejano
Fronsac 2005,Château Villars,2005,3.8,101,25.95,Red,Fronsac
Cuvée Charles de Batz Madiran 2014,Domaine Berthoumieu,2014,3.7,101,14.09,Red,Madiran
Stony Terrace Cabernet Sauvignon 2016,Rutherford Wine Company,2016,3.8,101,18.03,Red,Napa Valley
12 e Mezzo Puglia Primitivo Organic Wine 2016,Varvaglione,2016,3.9,101,9.4,Red,Puglia
El Abuelo Selección Edición Limitada 2013,Bodegas Piqueras,2013,4.2,101,10.95,Red,Almansa
Sangre de Toro Special Selection 2017,Torres,2017,3.6,101,8.9,Red,Catalunya
Château Paul Mas Coteaux du Languedoc Clos des Mures 2018,Paul Mas,2018,3.8,101,11.05,Red,Languedoc
Merlot 2018,Les Jamelles,2018,3.6,101,5.36,Red,Pays d'Oc
Roscaleto Barbera d'Alba 2015,Enzo Boglietti,2015,3.9,101,31.18,Red,Barbera d'Alba
Barolo Cannubi 2014,Giacomo Fenocchio,2014,4.0,101,39.9,Red,Barolo
Pauillac (Premier Grand Cru Classé) 2017,Château Mouton Rothschild,2017,4.6,101,633.62,Red,Pauillac
Cabernet Sauvignon 2014,Stimson Estate Cellars,2014,3.3,101,8.29,Red,Washington
Côte-Rôtie Le Gallet Blanc 2017,Francois Villard,2017,4.4,101,48.0,Red,Côte-Rôtie
Capatosta 2015,Poggio Argentiera,2015,3.8,101,19.9,Red,Toscana
Constance Madiran 2015,Domaine Berthoumieu,2015,3.8,101,9.5,Red,Madiran
Oak Cask Malbec 2019,Trapiche,2019,3.7,1010,7.36,Red,Mendoza
Amancaya Malbec - Cabernet Sauvignon 2017,Caro (Catena and Rothschild),2017,4.0,1010,16.8,Red,Mendoza
Laccento Ruché di Castagnole Monferrato 2017,Montalbera,2017,4.0,1012,19.9,Red,Ruchè
San Leonardo 2011,San Leonardo,2011,4.3,1012,48.64,Red,Vigneti delle Dolomiti
Fausto Tannat 2015,Pizzato,2015,3.6,1012,11.35,Red,Serra Gaúcha
Pauillac (Grand Cru Classé) 2007,Château Pichon Baron,2007,4.4,1014,119.0,Red,Pauillac
Disciples 2016,The Crane Assembly,2016,4.3,1014,53.61,Red,Napa Valley
Zinfandel 2015,Bonterra,2015,3.6,1015,16.75,Red,Mendocino County
Margaux 2010,Château Labégorce,2010,4.0,1016,40.95,Red,Margaux
La Luna e i Falò Barbera d'Asti Superiore 2015,Vite Colte,2015,3.8,1016,11.49,Red,Barbera d'Asti
Ribera del Duero 2015,Garmón,2015,4.2,1017,38.8,Red,Ribera del Duero
Les Jardins Rouge 2018,Saint Antonin,2018,3.8,102,7.95,Red,Faugères
Nero d'Avola - Syrah 2018,Roccaperciata,2018,3.7,102,4.75,Red,Terre Siciliane
La Bienquerida 2013,Losada,2013,4.1,102,35.97,Red,Bierzo
Bonera 2018,Mandrarossa,2018,3.7,102,9.5,Red,Terre Siciliane
Noi 4 Bolgheri 2016,Tenuta dei Sette Cieli,2016,4.0,102,23.5,Red,Bolgheri
Pinot Noir 2016,Clos Henri Vineyard,2016,3.9,102,27.78,Red,Marlborough
Saint-Émilion Grand Cru 2005,Château Grand Barrail Lamarzelle Figeac,2005,3.9,102,39.95,Red,Saint-Émilion Grand Cru
Gran Selección Tempranillo 2017,Viña San Juan,2017,3.4,102,6.75,Red,Castilla
Syrah 2017,Glen Carlou,2017,3.9,102,18.25,Red,Paarl
Zweigelt 2017,Judith Beck,2017,3.9,102,10.6,Red,Burgenland
Saint-Émilion Grand Cru 2015,Château Vieux Clos St. Emilion,2015,4.1,102,23.09,Red,Saint-Émilion Grand Cru
Listán Negro 2017,Bermejo,2017,3.6,102,17.95,Red,Lanzarote
Viile Metamorfosis Merlot 2015,Vitis Metamorfosis,2015,3.5,102,7.5,Red,Dealu Mare
Merlot - Cabernet Sauvignon - Petit Verdot 2014,Creation,2014,3.9,102,12.48,Red,Walker Bay
RWT Shiraz 2017,Penfolds,2017,4.4,102,229.0,Red,Barossa Valley
Fronton 2018,Château Bellevue La Forét,2018,3.5,102,6.95,Red,Fronton
Costers Del Gravet Montsant 2013,Capçanes,2013,3.7,102,13.95,Red,Montsant
Merlot 2018,Cusumano,2018,3.4,102,7.9,Red,Terre Siciliane
Pinot Noir 2015,Paul Achs,2015,3.7,102,33.05,Red,Burgenland
Coume de l'Olla Rouge 2019,Matassa,2019,4.1,102,16.96,Red,Vin de France
Schwarzer 2017,Weingut Metzger,2017,3.6,102,13.15,Red,Pfalz
Haut-Médoc 2015,Château Beaumont,2015,3.8,1020,17.36,Red,Haut-Médoc
Bourgogne Pinot Noir (La Vignée) 2015,Bouchard Père & Fils,2015,3.6,1020,17.59,Red,Bourgogne
Pinot Noir 2017,Hamilton Russell Vineyards,2017,4.2,1022,49.09,Red,Hemel-en-Aarde Valley
Zinfandel 2016,Geyser Peak,2016,3.7,1023,10.9,Red,California
Valpolicella Ripasso Classico Superiore 2017,Bolla,2017,3.7,1024,15.5,Red,Valpolicella Ripasso Classico
Rosso di Montalcino 2015,Castiglion del Bosco,2015,3.9,1025,26.5,Red,Rosso di Montalcino
Ripanço Private Selection Alentejano 2016,José Maria da Fonseca,2016,3.7,1026,8.6,Red,Alentejano
Riserva Cannonau di Sardegna 2017,Sella & Mosca,2017,3.8,1027,10.66,Red,Cannonau di Sardegna
60 Sessantanni Old Vines Primitivo di Manduria 2016,San Marzano,2016,4.4,1028,17.24,Red,Primitivo di Manduria
Kith & Kin Cabernet Sauvignon 2017,Round Pond Estate,2017,4.2,1028,38.5,Red,Napa Valley
Zinfandel 2017,Rombauer Vineyards,2017,4.3,1029,34.12,Red,California
Cerro Añon Rioja Gran Reserva 2011,Bodegas Olarra,2011,4.1,103,14.65,Red,Rioja
Bush Vine GSM (Shiraz - Grenache - Mourvedre) 2013,Geoff Merrill,2013,4.0,103,14.57,Red,McLaren Vale
Plaer Vinyes Velles 2016,Acustic Celler,2016,4.1,103,26.18,Red,Priorat
Cabernet - Shiraz 2016,Añoranza,2016,3.4,103,3.95,Red,La Mancha
Saint-Émilion Grand Cru 2014,Château La Confession,2014,3.9,103,26.9,Red,Saint-Émilion Grand Cru
Comte de Sénéjac Haut-Médoc 2011,Château Sénéjac,2011,3.7,103,16.83,Red,Haut-Médoc
Gran Masetto Teroldego 2014,Endrizzi,2014,4.4,103,39.9,Red,Trentino
Barolo Mariondino 2015,Parusso,2015,4.1,103,39.9,Red,Barolo
Crianza 2016,Berceo,2016,3.6,103,9.9,Red,Rioja
Apogee Pepper Bridge Vineyard 2013,L'Ecole No 41,2013,4.1,103,46.9,Red,Walla Walla Valley
Gamma Red Blend 2018,Bodegas Piedemonte,2018,3.4,103,6.15,Red,Navarra
Peyres Nobles Rouge 2018,Château Camplong,2018,4.0,103,6.5,Red,Corbières
Lemartine Toscana 2015,Poggio Antico,2015,4.1,103,29.67,Red,Toscana
Organic Cabernet 2018,Farm Hand,2018,3.7,103,7.79,Red,South Australia
Pomerol 1999,Château Nénin,1999,4.1,103,240.0,Red,Pomerol
Malterdinger Alte Reben Spätburgunder 2016,Bernhard Huber,2016,4.1,103,38.69,Red,Baden
Cabernet Franc 2012,Anthonij Rupert,2012,4.2,103,59.95,Red,Franschhoek
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2002,Château Valandraud,2002,4.4,103,193.02,Red,Saint-Émilion Grand Cru
Bramare Rebon Vineyard Malbec 2017,Viña Cobos,2017,4.6,103,75.07,Red,Mendoza
Merlot Reserva 2008,Pizzato,2008,3.2,103,15.9,Red,Vale dos Vinhedos
Brunello di Montalcino Pianrosso 2015,Ciacci Piccolomini d'Aragona,2015,4.4,103,66.29,Red,Brunello di Montalcino
François de Tournon Saint-Joseph 2016,Delas,2016,3.9,103,29.15,Red,Saint-Joseph
Estibals Minervois 2018,L'Ostal Cazes,2018,3.6,103,10.99,Red,Minervois
Barbera - Garnacha 2017,Erasmo,2017,3.5,103,12.62,Red,Maule Valley
Roi des Lézards 2014,Domaine Les Enfants Sauvages,2014,3.9,103,19.4,Red,Côtes Catalanes
One Point Five Cabernet Sauvignon 2016,Shafer,2016,4.5,1030,120.01,Red,Stags Leap District
Barbaresco 2013,Gaja,2013,4.4,1030,199.9,Red,Barbaresco
Saint-Julien (Grand Cru Classé) 2006,Château Branaire-Ducru,2006,3.9,1030,59.54,Red,Saint-Julien
Médoc 2012,Château Potensac,2012,3.8,1033,39.69,Red,Médoc
Pieve Santa Restituta Brunello di Montalcino 2014,Gaja,2014,4.3,1035,59.9,Red,Brunello di Montalcino
Gran Maestro Primitivo di Manduria 2017,Maestro Italiano,2017,4.1,1036,9.75,Red,Primitivo di Manduria
Saint-Julien (Grand Cru Classé) 2011,Château Léoville Barton,2011,4.2,1037,87.24,Red,Saint-Julien
Inferno (Aged in Whiskey Barrels - Limited Release) 2017,Apothic,2017,3.8,1037,14.56,Red,California
Pessac-Léognan (Grand Cru Classé de Graves) 2007,Château Pape Clément,2007,4.3,1037,161.1,Red,Pessac-Léognan
Faithful Hound Red 2015,Mulderbosch,2015,4.0,1038,14.9,Red,Stellenbosch
Serego Alighieri Vaio Armaron Amarone della Valpolicella Classico 2012,Masi,2012,4.3,1039,69.0,Red,Amarone della Valpolicella
Rosso di Montalcino 2018,Talenti,2018,3.7,104,14.43,Red,Rosso di Montalcino
Chianti 2017,Sammontana,2017,3.7,104,8.9,Red,Chianti
Azul 2015,Guelbenzu,2015,3.8,104,6.99,Red,Ribera del Queiles
Sanct Valentin Riserva Pinot Noir 2017,St. Michael-Eppan,2017,4.1,104,33.2,Red,Südtirol - Alto Adige
Mas Collet Barrica 2009,Capçanes,2009,3.5,104,21.91,Red,Montsant
Valpolicella Ripasso Classico Superiore 2016,Paolo Cottini,2016,4.0,104,16.9,Red,Valpolicella Ripasso Classico
Toscana Poggio Ai Merli 2016,Castellare,2016,4.3,104,69.0,Red,Toscana
Viña Aljibes Red Blend 2016,Finca Los Aljibes,2016,3.4,104,8.2,Red,Castilla
Châteauneuf-du-Pape (La Crau) 2017,Domaine du Vieux Télégraphe,2017,4.4,104,79.95,Red,Châteauneuf-du-Pape
Châteauneuf-Du-Pape La Paillousse Terroir D'Exception Rouge 2015,Pierre Amadieu,2015,4.0,104,26.23,Red,Châteauneuf-du-Pape
Mencia 2015,Viña Costeira,2015,3.2,104,8.28,Red,Valdeorras
Santenay Clos de Malte 2016,Louis Jadot,2016,4.1,104,32.0,Red,Santenay
Sudisfà Roero Riserva 2015,Negro Angelo,2015,4.1,104,29.9,Red,Roero
Léa Les Aspres Côtes du Roussillon Rouge 2012,Domaine Lafage,2012,4.0,104,19.95,Red,Côtes du Roussillon
Alleanza 2012,Castello di Gabbiano,2012,4.1,104,26.95,Red,Toscana
Valpolicella Ripasso Classico Superiore Solane 2015,Santi,2015,3.7,1040,14.75,Red,Valpolicella Ripasso
Crianza 2015,Bodegas José L. Ferrer,2015,3.8,1040,11.95,Red,Binissalem-Mallorca
Courela Tinto 2016,Cortes de Cima,2016,3.6,1040,5.65,Red,Alentejano
Barbera d'Alba Tre Vigne 2015,Vietti,2015,3.8,1040,19.5,Red,Barbera d'Alba
No Name 2014,Borgogno,2014,4.0,1041,34.32,Red,Piemonte
Rioja Bordón Reserva 2011,Franco-Espanolas,2011,3.8,1045,10.85,Red,Rioja
Pian delle Vigne Brunello di Montalcino 2014,Antinori,2014,4.3,1046,45.6,Red,Brunello di Montalcino
Almiréz 2016,Teso La Monja,2016,4.0,1046,14.95,Red,Toro
Colheita Seleccionada Rouge 2010,Rapariga da Quinta,2010,3.2,1046,11.7,Red,Alentejano
Ammasso Rosso Sicilia 2016,Barone Montalto,2016,4.2,1047,16.34,Red,Sicilia
Côtes du Rhône Nature Rouge 2016,Famille Perrin,2016,3.6,1049,10.45,Red,Côtes-du-Rhône
Russian River Valley Zinfandel 2015,DeLoach,2015,3.5,105,18.49,Red,Russian River Valley
Saint-Julien (Grand Cru Classé) 2016,Château Léoville Las Cases,2016,4.6,105,330.45,Red,Saint-Julien
Halkidiki Limnio - Merlot 2013,Tsantali,2013,3.2,105,12.49,Red,Chalkidiki
Pomerol 2015,Château l'Ecuyer,2015,4.2,105,43.16,Red,Pomerol
Toar Valpolicella Classico Superiore 2016,Masi,2016,3.7,105,15.6,Red,Valpolicella Classico
Arbòre Cannonau di Sardegna 2012,Gabbas,2012,4.0,105,21.9,Red,Cannonau di Sardegna
Ángeles de Amaren Tempranillo - Graciano 2015,Bodegas Amaren,2015,4.2,105,15.95,Red,Rioja
Barbera 2018,Serre dei Roveri,2018,3.3,105,6.15,Red,Piemonte
Amarone della Valpolicella 2006,Zýmē,2006,4.5,105,96.9,Red,Amarone della Valpolicella
Castillo de Jumilla Monastrell - Tempranillo 2018,Bleda,2018,3.5,105,5.33,Red,Jumilla
Hommage Lirac 2016,Domaine Coudoulis,2016,3.9,105,19.01,Red,Lirac
Poggio d'Arna Toscana 2014,Tenuta di Sesta,2014,3.6,105,12.9,Red,Toscana
Vinya Le Havre Reserva Cabernet Sauvignon 2013,Jean Leon,2013,4.0,105,25.75,Red,Penedès
Brunello di Montalcino 2014,Tenute Silvio Nardi,2014,3.8,105,32.75,Red,Brunello di Montalcino
Sor Ugo Bolgheri Superiore 2017,Aia Vecchia,2017,4.3,105,23.94,Red,Bolgheri Superiore
Ses Nines Negre 2018,Tianna Negre,2018,3.8,105,11.25,Red,Binissalem-Mallorca
Terrassen Zweigelt Blauer 2018,Domäne Wachau,2018,3.7,105,9.95,Red,Wachau
Rosso di Montalcino 2018,Ciacci Piccolomini d'Aragona,2018,4.1,105,16.47,Red,Rosso di Montalcino
Riva Ranch Pinot Noir (Reliz Creek) 2017,Wente,2017,3.9,105,24.15,Red,Arroyo Seco
Altos R Tempranillo 2017,Altos de Rioja,2017,3.4,105,6.9,Red,Rioja
Amarone della Valpolicella Classico 2016,Zenato,2016,4.2,105,43.61,Red,Amarone della Valpolicella Classico
Potenti Toscana (Suvereto) 2015,Petra,2015,3.9,105,39.58,Red,Toscana
Trentatre 33 Rosso 2017,Rocca,2017,3.6,105,6.95,Red,Salento
Pievasciata Rosso 2016,Vallepicciola,2016,4.1,105,14.9,Red,Toscana
Brunello di Montalcino 2013,Tenute Silvio Nardi,2013,3.9,1050,35.5,Red,Brunello di Montalcino
The Barossan Shiraz 2017,Peter Lehmann,2017,3.8,1051,16.48,Red,Barossa Valley
Nero d'Avola 2017,Colosi,2017,3.8,1055,8.68,Red,Terre Siciliane
Bordeaux 2015,Jean-Pierre Moueix,2015,3.5,1056,10.21,Red,Bordeaux
Cabernet Sauvignon 2018,Woodbridge by Robert Mondavi,2018,3.4,1056,8.95,Red,California
Tinto 2018,Porta 6,2018,3.7,1056,9.12,Red,Lisboa
Aglianico Rubrato 2014,Feudi di San Gregorio,2014,3.5,1057,10.95,Red,Irpinia
Gran Verano Cabernet Sauvignon 2018,Apaltagua,2018,3.4,1059,6.95,Red,Central Valley
Grand Estates Merlot 2015,Columbia Crest,2015,3.7,1059,12.4,Red,Columbia Valley
Saint-Julien (Grand Cru Classé) 2017,Château Beychevelle,2017,4.0,106,86.76,Red,Saint-Julien
Copa Santa La Méjanelle 2015,Clavel,2015,4.0,106,17.9,Red,Languedoc
Cantodoro 2016,Feudo Arancio,2016,3.6,106,8.5,Red,Sicilia
Vitiano San Lorenzo 2014,Falesco,2014,3.9,106,11.95,Red,Castel San Lorenzo
Disueri Nero d'Avola 2018,Cusumano,2018,3.6,106,7.7,Red,Sicilia
Kirschgarten Spatburgunder GG 2013,Knipser,2013,4.2,106,39.95,Red,Pfalz
B 2017,Baden Numen,2017,3.8,106,11.21,Red,Ribera del Duero
Pinot Noir 2017,Ottin - Viticulteur Encaveur,2017,4.0,106,22.5,Red,Valle d'Aosta
Protocolo Tinto 2018,Dominio de Eguren,2018,3.7,106,5.95,Red,Castilla
Rouge 2016,Bad Boy (Mauvais Garçon),2016,3.9,106,16.9,Red,Bordeaux
Côte de Nuits Villages Le Vaucrain 2016,Louis Jadot,2016,4.0,106,32.0,Red,Côte de Nuits Villages
Vino Nobile di Montepulciano 2016,Talosa,2016,3.9,106,17.79,Red,Vino Nobile di Montepulciano
Yotuel Selección 2014,Gallego Zapatero,2014,3.6,106,15.75,Red,Ribera del Duero
Lanzaga Rioja 2014,Telmo Rodriguez,2014,3.8,106,19.95,Red,Rioja
Elysian Collection Merlot 2016,Bonterra,2016,3.8,106,26.7,Red,California
La Tiare du Pape Châteauneuf-du-Pape Rouge 2015,Maison Bouachon,2015,3.9,106,45.0,Red,Châteauneuf-du-Pape
Spätburgunder Trocken 2015,Ökonomierat Rebholz,2015,3.9,106,21.4,Red,Pfalz
El Chocolatero Cariñena 2014,San Valero,2014,3.2,106,7.75,Red,Cariñena
Hermitage La Chapelle Rouge 2016,Paul Jaboulet Aîné,2016,4.3,106,249.95,Red,Hermitage
Mas Oliveras Tempranillo 2018,Ramón Roqueta,2018,3.2,106,6.5,Red,Catalunya
Pannobile 2015,Pittnauer,2015,3.9,106,22.13,Red,Burgenland
Tempus 2018,Stefano Accordini,2018,3.8,106,10.42,Red,Veneto
Le Clos des Fées (Hervé Bizeul) 2013,Domaine du Clos des Fées,2013,4.1,106,52.53,Red,Côtes du Roussillon
Tío Martín Crianza 2016,D. Mateos,2016,3.8,106,15.69,Red,Rioja
Vigna Del Mandorlo Dolcetto d'Alba 2017,Elvio Cogno,2017,3.4,106,11.5,Red,Dolcetto d'Alba
Barolo Bussia 2015,Prunotto,2015,4.1,106,69.0,Red,Barolo
Tinto 2015,Gran Familia,2015,3.5,106,5.8,Red,Rioja
Finca Cuesta Clara Raro Reserva 2015,Campillo,2015,4.2,106,39.99,Red,Rioja
Fronsac 2005,Château la Vieille Cure,2005,4.0,106,39.95,Red,Fronsac
Ventoux 2016,Xavier Vignon,2016,3.6,106,8.2,Red,Ventoux
Hussonet Cabernet Sauvignon Gran Reserva 2015,Haras de Pirque,2015,3.7,1060,15.95,Red,Maipo Valley
Salice Salentino Riserva 2016,Marchese di Borgosole,2016,3.9,1061,8.49,Red,Salice Salentino
Chianti Classico 2016,Isole e Olena,2016,3.9,1063,20.86,Red,Chianti Classico
Joseph Meczan Pinot Nero - Blauburgunder Alto Adige 2016,J. Hofstätter,2016,3.6,1064,13.48,Red,Südtirol - Alto Adige
Brunello di Montalcino 2014,Tenuta Il Poggione,2014,4.2,1065,36.63,Red,Brunello di Montalcino
Cabernet Sauvignon 2015,Columbia Winery,2015,3.8,1065,17.75,Red,Columbia Valley
Saint-Julien (Grand Cru Classé) 2009,Château Léoville Barton,2009,4.4,1066,133.06,Red,Saint-Julien
Pessac-Léognan (Grand Cru Classé de Graves) 2005,Château Smith Haut-Lafitte,2005,4.4,1066,169.95,Red,Pessac-Léognan
Cabernet Sauvignon 2013,L. A. Cetto,2013,3.4,1066,8.65,Red,Valle de Guadalupe
Malbec 2017,Catena,2017,4.1,10676,13.5,Red,Mendoza
Saint-Estèphe (Grand Cru Classé) 2009,Château Lafon-Rochet,2009,4.2,1069,75.98,Red,Saint-Estèphe
Amarone della Valpolicella Classico 2014,Bolla,2014,4.1,1069,28.99,Red,Amarone della Valpolicella Classico
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2014,Château Belair-Monange,2014,4.0,107,130.97,Red,Saint-Émilion Grand Cru
Margaux (Grand Cru Classé) 2017,Château Lascombes,2017,4.0,107,86.76,Red,Margaux
Pauillac (Grand Cru Classé) 2017,Château d'Armailhac,2017,3.9,107,52.64,Red,Pauillac
Figure Libre Freestyle Rouge 2018,Gayda,2018,3.7,107,11.45,Red,Pays d'Oc
Pinot Noir 2018,La Forge Estate,2018,3.6,107,7.27,Red,Pays d'Oc
Tinto 2018,Vergel,2018,3.6,107,7.35,Red,Alicante
Les Coteaux Cabernet Sauvignon 2015,Mont du Toit,2015,3.8,107,11.5,Red,Wellington
Mayro Montepulciano d'Abruzzo 2015,Fosso Corno,2015,3.7,107,7.75,Red,Montepulciano d'Abruzzo
Barbera d'Alba 2018,Comm. G.B. Burlotto,2018,3.9,107,17.0,Red,Barbera d'Alba
Blauer Spätburgunder 2015,Ziereisen,2015,3.7,107,11.31,Red,Baden
Promontory 2013,Promontory,2013,4.7,107,721.34,Red,Napa Valley
Tempranillo - Merlot 2015,Rolland & Galarreta 'R&G',2015,3.7,107,13.95,Red,Ribera del Duero
Sankt Laurent 2017,Umathum,2017,3.6,107,13.2,Red,Burgenland
Gigondas 2017,M. Chapoutier,2017,3.9,107,24.8,Red,Gigondas
Driopi Classic Agiorgitiko Nemea 2017,Κτημα Τσελεπου (Ktima Tselepos),2017,3.7,107,11.5,Red,Nemea
Magna Malbec 2018,Callia,2018,3.5,107,8.95,Red,San Juan
Nero 2010,Conti Zecca,2010,4.0,107,25.12,Red,Salento
Salice Salentino 2017,Epicuro,2017,3.6,107,6.25,Red,Salice Salentino
Valpolicella Superiore 2014,Rocca Sveva,2014,3.7,107,15.84,Red,Valpolicella
Gevrey-Chambertin 2015,Chanson,2015,4.1,107,50.9,Red,Gevrey-Chambertin
Pago de los Balagueses Garnacha Tintorera - Merlot 2014,Vegalfaro,2014,3.8,107,16.9,Red,Valencia
Barolo Liste 2013,Borgogno,2013,4.2,107,80.01,Red,Barolo
Adrianna Vineyard Fortuna Terrae Malbec 2016,Catena Zapata,2016,4.6,107,89.9,Red,Mendoza
Malbec de Purcari 2018,Château Purcari,2018,4.1,107,11.98,Red,South Eastern
Esprit de Granit Saint-Joseph 2012,Cave de Tain,2012,4.0,107,27.93,Red,Saint-Joseph
Bachgart Blauburgunder 2016,Klaus Lentsch,2016,3.8,107,19.9,Red,Südtirol - Alto Adige
Crianza 2016,Campo Viejo,2016,3.5,1070,7.99,Red,Rioja
Margaux de Brane (Margaux de Henri Lurton) 2014,Château Brane-Cantenac,2014,3.8,1070,34.2,Red,Margaux
Shiraz 2017,Allesverloren,2017,3.6,1070,10.9,Red,Swartland
Rubesco Rosso di Torgiano 2016,Lungarotti,2016,3.7,1071,9.8,Red,Torgiano
Yamhill Cuvée Pinot Noir 2014,Domaine Serene,2014,4.3,1071,59.0,Red,Willamette Valley
Gran Enemigo 2015,El Enemigo,2015,4.5,1072,62.39,Red,Mendoza
Macán Clásico 2015,Benjamin de Rothschild - Vega Sicilia,2015,4.3,1073,48.54,Red,Rioja
Zinfandel 2016,Ghost Pines,2016,3.9,1075,17.29,Red,North Coast
Reserve Malbec 2016,Sophenia,2016,3.8,1076,13.09,Red,Tupungato
Saint-Estèphe 2011,Château de Pez,2011,3.9,1077,36.9,Red,Saint-Estèphe
Rosso di Montalcino Leopoldo Franceschi 2014,Tenuta Il Poggione,2014,3.9,1077,21.34,Red,Rosso di Montalcino
Saint-Estèphe (Grand Cru Classé) 2005,Château Lafon-Rochet,2005,4.1,1077,79.95,Red,Saint-Estèphe
Diamond Collection Zinfandel (Red Label) 2016,Francis Ford Coppola,2016,3.9,1078,21.39,Red,Napa Valley
Nèprica Cabernet Sauvignon 2018,Tormaresca,2018,3.5,108,8.33,Red,Puglia
Veneto Rosso del Bepi 2010,Quintarelli Giuseppe,2010,4.4,108,115.92,Red,Veneto
Taurasi 2015,Feudi di San Gregorio,2015,4.1,108,17.45,Red,Taurasi
Tributo Carmenère 2018,Caliterra,2018,3.7,108,9.64,Red,Colchagua Valley
Lalande-de-Pomerol 2014,Château Les Hauts-Conseillants,2014,4.0,108,20.37,Red,Lalande-de-Pomerol
